TWC,"Time Warner Cable Inc",NYSE,True,110.21
AGNC,"American Capital Agency",NASDAQ,True,22.35
BCOR,"Blucora Inc.",NASDAQ,True,20.36
HR,"Healthcare Realty Trust Inc.",NYSE,True,23.16
GTN,"Gray Television",NYSE,True,6.57
OPEN,"Opentable",NASDAQ,True,73.23
WNS,"Wns Limited",NYSE,True,20.88
IIJI,"Internet Initiative Japan",NASDAQ,True,15.32
IN,"Intermec Inc",NYSE,True,9.89
FHCO,"Female Health Company",NASDAQ,False,9.19
DSKX,"Ds Healthcare Group Inc.",NASDAQ,False,1.78
FLTX,"Fleetmatics Group Plc",NYSE,False,41.36
EGBN,"Eagle Bancorp",NASDAQ,True,24.78
MBWM,"Mercantile Bank Corp.",NASDAQ,True,19.75
GES,"Guess",NYSE,True,30.82
EVRY,"Everyware Global Inc",NASDAQ,False,12.63
PWR,"Quanta Services",NYSE,True,26.73
USAC,"USA Compression Partners Lp",NYSE,False,24.41
PFS,"Provident Financial Services",NYSE,True,17.28
SMS,"Sims Metal Management Limited",NYSE,True,8.58
KYO,"Kyocera Corp.",NYSE,True,96.93
CFNB,"California First National Bancorp",NASDAQ,True,16.81
WMAR,"West Marine",NASDAQ,True,10.98
TXMD,"Therapeuticsmd Inc",AMEX,False,2.16
FRT,"Federal Realty Investment Trust",NYSE,True,102.36
GAME,"Shanda Games Limited",NASDAQ,True,4.44
VRTS,"Virtus Investment Partners",NASDAQ,True,187.08
WMB,"Williams Companies",NYSE,True,35.35
UBNT,"Ubiquiti Networks Inc.",NASDAQ,True,28.23
HEP,"Holly Energy Partners L.P.",NYSE,False,36.30
NLNK,"Newlink Genetics Corporation",NASDAQ,False,18.62
PRGN,"Paragon Shipping Inc.",NASDAQ,True,4.88
CCCL,"China Ceramics Co.",NASDAQ,True,2.46
LII,"Lennox International",NYSE,True,68.20
LIN,"Lin Media Llc",NYSE,False,15.02
TW,"Towers Watson & Co",NYSE,True,81.06
ADVS,"Advent Software",NASDAQ,True,28.25
GPIC,"Gaming Partners International Corp.",NASDAQ,False,8.37
SNPS,"Synopsys",NASDAQ,True,36.92
GTIV,"Gentiva Health Services",NASDAQ,True,13.03
BGMD,"Bg Medicine",NASDAQ,True,0.91
KLAC,"Kla-Tencor Corp.",NASDAQ,True,57.07
TAM,"Taminco Corporation Common Stoc",NYSE,True,19.77
DLA,"Delta Apparel",AMEX,True,16.00
STS,"Supreme Industries",AMEX,True,5.35
CASS,"Cass Information Systems Inc",NASDAQ,True,60.19
CBST,"Cubist Pharmaceuticals",NASDAQ,True,61.62
NAVR,"Navarre Corp.",NASDAQ,True,3.22
MNGA,"Magnegas Corporation",NASDAQ,False,0.75
TXI,"Texas Industries",NYSE,True,59.34
PEIX,"Pacific Ethanol",NASDAQ,True,3.71
UACL,"Universal Truckload Services",NASDAQ,False,25.40
TGH,"Textainer Group Holdings",NYSE,True,34.12
POOL,"Pool Corp.",NASDAQ,True,52.21
GLP,"Global Partners Lp",NYSE,True,33.86
ZFC,"Zais Financial Corp. Common Sto",NYSE,False,16.17
TMHC,"Taylor Morrison Home Corporatio",NYSE,False,20.06
PCL,"Plum Creek Timber Company",NYSE,True,44.90
TOL,"Toll Brothers Inc.",NYSE,True,32.33
RBC,"Regal-Beloit Corp.",NYSE,False,65.78
NPK,"National Presto Industries",NYSE,True,70.43
SYK,"Stryker Corp.",NYSE,True,68.91
DCOM,"Dime Community Bancshares",NASDAQ,True,16.79
JRCC,"James River Coal Company",NASDAQ,True,2.10
NATR,"Nature's Sunshine Products",NASDAQ,True,17.66
FLO,"Flowers Foods",NYSE,True,22.10
CFNL,"Cardinal Financial Corp.",NASDAQ,True,17.18
PTP,"Platinum Underwriters Holdings Ltd",NYSE,True,58.14
TNC,"Tennant Company",NYSE,True,54.03
GENT,"Gentium Spa",NASDAQ,False,17.70
PKE,"Park Electrochemical Corp.",NYSE,True,27.08
EGT,"Entertainment Gaming Asia Inc.",NASDAQ,False,1.20
ALX,"Alexander's",NYSE,True,286.57
PPO,"Polypore International Inc",NYSE,True,42.41
NVTL,"Novatel Wireless",NASDAQ,True,3.44
BDGE,"Bridge Bancorp",NASDAQ,False,20.86
OMC,"Omnicom Group Inc.",NYSE,True,60.69
CSFL,"Centerstate Banks",NASDAQ,True,9.84
